protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.69,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9193,1532,0.8571561771561772,0.14284382284382285,0.9382138583704993,0.959746835443038,0.9026190476190477,0.9303067484662577,0.36945169712793735
standard,10725,0.7,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9091,1634,0.8476456876456876,0.15235431235431235,0.9407105928940711,0.962080450935178,0.9056922334780512,0.9330351596471611,0.36413708690330476
standard,10725,0.71,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8978,1747,0.8371095571095571,0.16289044289044288,0.9417464914234797,0.9630112008335504,0.9065718489455615,0.933939623594796,0.34974241556954777
standard,10725,0.72,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8875,1850,0.8275058275058275,0.17249417249417248,0.944112676056338,0.9644175013178703,0.9101990049751244,0.9365241873560276,0.34486486486486484
standard,10725,0.73,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8764,1961,0.8171561771561772,0.18284382284382283,0.9467138293016887,0.9662921348314607,0.9137364027321022,0.9392796775451827,0.34013258541560426
standard,10725,0.74,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8659,2066,0.8073659673659673,0.19263403263403264,0.9488393578935211,0.9674972914409534,0.9170731707317074,0.9416106497957032,0.3344627299128751
standard,10725,0.75,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8548,2177,0.797016317016317,0.202983682983683,0.9514506317267197,0.9690241228070176,0.9212926765702372,0.9445557782231129,0.33027101515847496
standard,10725,0.76,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8421,2304,0.7851748251748252,0.21482517482517482,0.9545184657404109,0.9705800721620872,0.9266030736618972,0.9480818761013963,0.3259548611111111
standard,10725,0.77,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8311,2414,0.774918414918415,0.22508158508158507,0.956924557814944,0.9718230487461257,0.9304019422713785,0.9506615214994487,0.32145816072908034
standard,10725,0.78,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8197,2528,0.7642890442890443,0.2357109557109557,0.9588873978284739,0.9739702517162472,0.932621199671323,0.952847348537848,0.31526898734177217
standard,10725,0.79,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8088,2637,0.7541258741258742,0.24587412587412588,0.9608061325420376,0.9750362844702467,0.9356545961002786,0.9549395877754087,0.3098217671596511
standard,10725,0.8,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7952,2773,0.7414452214452214,0.25855477855477854,0.9640342052313883,0.9758468335787923,0.9419960193346603,0.9586226851851852,0.30580598629642985
standard,10725,0.81,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7791,2934,0.7264335664335664,0.27356643356643356,0.9662431010139905,0.9773619076365831,0.9451255107997665,0.960973438195578,0.29686434901158826
standard,10725,0.82,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7655,3070,0.7137529137529137,0.2862470862470862,0.968647942521228,0.9793655682168155,0.9484044139576498,0.9636363636363636,0.29120521172638436
standard,10725,0.83,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7473,3252,0.6967832167832168,0.3032167832167832,0.9713635755386056,0.9801637279596978,0.9537377450980392,0.9667701863354037,0.2829028290282903
