protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_distance,median_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,4.511323,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4290,6435,0.4,0.6,5.500676155090332,4.927595138549805,0.9256410256410257,0.9302623160588611,0.8737980769230769,0.9011465757669662,0.12665112665112666
standard,10725,4.556813,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4397,6328,0.40997668997668996,0.59002331002331,5.500676155090332,4.927595138549805,0.9249488287468729,0.9311841289522629,0.872748402091807,0.9010197960407919,0.12705436156763592
standard,10725,4.598474,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4505,6220,0.42004662004662,0.5799533799533799,5.500676155090332,4.927595138549805,0.9216426193118757,0.9293904646952323,0.8671171171171171,0.8971744829595106,0.12556270096463024
standard,10725,4.634442,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4612,6113,0.43002331002331,0.5699766899766899,5.500676155090332,4.927595138549805,0.9212922810060711,0.9291199054932073,0.8661894273127754,0.896551724137931,0.1261246523801734
standard,10725,4.675404,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4719,6006,0.44,0.56,5.500676155090332,4.927595138549805,0.9188387370205552,0.9269695227142035,0.8629550321199143,0.89381757693374,0.12504162504162505
standard,10725,4.716336,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4826,5899,0.44997668997669,0.5500233100233101,5.500676155090332,4.927595138549805,0.9179444674678823,0.9251814628699051,0.863470557582074,0.8932614555256064,0.12510595016104425
standard,10725,4.754521,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4934,5791,0.46004662004662006,0.53995337995338,5.500676155090332,4.927595138549805,0.9158897446291042,0.9237472766884531,0.8604769152714358,0.890990281061203,0.12415817648074598
standard,10725,4.805814,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5041,5684,0.47002331002331005,0.52997668997669,5.500676155090332,4.927595138549805,0.9145010910533624,0.9217758985200846,0.8603848051307351,0.8900229650421025,0.12368050668543279
standard,10725,4.840532,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5148,5577,0.48,0.52,5.500676155090332,4.927595138549805,0.9135586635586636,0.9204545454545454,0.8596237337192475,0.8889997505612373,0.12354312354312354
standard,10725,4.886413,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5255,5470,0.48997668997668997,0.51002331002331,5.500676155090332,4.927595138549805,0.9103710751665081,0.9198992443324937,0.8540692235734331,0.8857627940819791,0.12120658135283363
standard,10725,4.927595,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5362,5363,0.49995337995337996,0.50004662004662,5.500676155090332,4.927595138549805,0.9091756807161507,0.9202153695545766,0.852994555353902,0.885330821756534,0.12064143203430916
standard,10725,4.975274,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5470,5255,0.51002331002331,0.48997668997668997,5.500676155090332,4.927595138549805,0.9089579524680073,0.9210275927687916,0.8536155202821869,0.8860411899313501,0.12102759276879163
