protocol,product_type,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_distance,median_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,kaki,177,4.975274,1.0,1.0,1.0,1.0,57,120,0.3220338983050847,0.6779661016949152,5.844708442687988,6.078649044036865,1.0,1.0,1.0,1.0,0.0
standard,lime,457,4.975274,0.9452954048140044,1.0,0.8863636363636364,0.9397590361445783,407,50,0.8905908096280087,0.10940919037199125,3.535255193710327,3.296468734741211,0.9484029484029484,1.0,0.8786127167630058,0.9353846153846154,0.08
standard,mango,207,4.975274,0.855072463768116,0.8974358974358975,0.8536585365853658,0.875,144,63,0.6956521739130435,0.30434782608695654,4.199805736541748,4.130161285400391,0.8472222222222222,0.8260869565217391,0.8507462686567164,0.8382352941176471,0.12698412698412698
standard,orange,1285,4.975274,0.8490272373540856,0.9246935201401051,0.7776141384388807,0.8448,706,579,0.5494163424124514,0.45058365758754865,4.974676609039307,4.838281631469727,0.8923512747875354,0.9399038461538461,0.8846153846153846,0.9114219114219114,0.20379965457685664
standard,papaya,108,4.975274,0.8981481481481481,1.0,0.8571428571428571,0.9230769230769231,11,97,0.10185185185185185,0.8981481481481481,6.7733845710754395,6.97300910949707,0.0,0.0,0.0,0.0,0.0
standard,peach,220,4.975274,0.9181818181818182,1.0,0.8512396694214877,0.9196428571428571,176,44,0.8,0.2,4.779553413391113,4.726147651672363,0.9943181818181818,1.0,0.987012987012987,0.9934640522875817,0.38636363636363635
standard,pear,122,4.975274,1.0,1.0,1.0,1.0,105,17,0.860655737704918,0.13934426229508196,3.2993323802948,2.6362950801849365,1.0,0.0,0.0,0.0,0.0
standard,pomegranate,1511,4.975274,0.9642620780939775,0.9140893470790378,0.9016949152542373,0.9078498293515358,742,769,0.49106551952349436,0.5089344804765056,5.587764739990234,5.036101341247559,0.9824797843665768,0.9326923076923077,0.941747572815534,0.9371980676328503,0.053315994798439535
standard,potato,240,4.975274,0.7166666666666667,0.7062937062937062,0.7952755905511811,0.7481481481481481,139,101,0.5791666666666667,0.42083333333333334,5.124001979827881,4.7100982666015625,0.7194244604316546,0.6621621621621622,0.7777777777777778,0.7153284671532847,0.2871287128712871
standard,strawberry,337,4.975274,0.7833827893175074,0.7142857142857143,0.9202453987730062,0.8042895442359249,151,186,0.44807121661721067,0.5519287833827893,5.176384925842285,5.43622350692749,0.8543046357615894,0.7674418604651163,0.9705882352941176,0.8571428571428571,0.27419354838709675
standard,tomato,889,4.975274,0.8773903262092239,0.9373493975903614,0.8241525423728814,0.8771138669673055,222,667,0.24971878515185603,0.750281214848144,6.519242286682129,6.2601237297058105,0.8423423423423423,0.9365079365079365,0.8137931034482758,0.8708487084870848,0.11094452773613193
standard,watermelon,48,4.975274,1.0,1.0,1.0,1.0,17,31,0.3541666666666667,0.6458333333333334,5.007888317108154,5.172178745269775,1.0,1.0,1.0,1.0,0.0
unseen,apple,7731,4.799697,0.7662656836114344,0.7547717842323651,0.8533896317147549,0.8010569195199824,3984,3747,0.5153279006596818,0.4846720993403182,5.044753551483154,4.741153717041016,0.8965863453815262,0.8765873015873016,0.9562770562770563,0.9146997929606625,0.37229783827061647
unseen,banana,7118,4.799697,0.6205394773812869,0.5772121626238469,0.9373092926490985,0.7144518448038905,3177,3941,0.44633323967406574,0.5536667603259342,5.675162315368652,5.090631484985352,0.4711992445703494,0.39219330855018586,0.9590909090909091,0.5567282321899736,0.25907130170007614
unseen,tomato,4409,4.799697,0.5838058516670447,0.5913684785577711,0.8646166134185304,0.7023519870235199,1556,2853,0.3529144930823316,0.6470855069176684,5.768566131591797,5.145505905151367,0.6593830334190232,0.6781437125748503,0.9005964214711729,0.7736976942783945,0.45741324921135645
