protocol,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.5,4.069266,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3218,7507,0.30004662004662,0.6999533799533799,0.8692758679389954,5.500675201416016,0.9372280919825979,0.929342492639843,0.8792943361188487,0.9036259541984732,0.12415079259357932
standard,10725,0.5,4.150543,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3432,7293,0.32,0.68,0.8692758679389954,5.500675201416016,0.9344405594405595,0.9292576419213974,0.8807947019867549,0.9043773905652359,0.1246400658165364
standard,10725,0.5,4.255488,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3647,7078,0.34004662004662006,0.65995337995338,0.8692758679389954,5.500675201416016,0.9330956950918563,0.928,0.882800608828006,0.9048361934477379,0.12574173495337665
standard,10725,0.5,4.336036,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3861,6864,0.36,0.64,0.8692758679389954,5.500675201416016,0.9316239316239316,0.9302152932442465,0.8805340829234013,0.9046931407942238,0.12674825174825174
standard,10725,0.5,4.427882,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4076,6649,0.38004662004662004,0.61995337995338,0.8692758679389954,5.500675201416016,0.9295878312070658,0.9320987654320988,0.8784744667097608,0.9044925124792014,0.12738757707926004
standard,10725,0.5,4.511322,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4290,6435,0.4,0.6,0.8692758679389954,5.500675201416016,0.9256410256410257,0.9302623160588611,0.8737980769230769,0.9011465757669662,0.12665112665112666
standard,10725,0.5,4.598474,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4505,6220,0.42004662004662,0.5799533799533799,0.8692758679389954,5.500675201416016,0.9216426193118757,0.9293904646952323,0.8671171171171171,0.8971744829595106,0.12556270096463024
standard,10725,0.5,4.675404,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4719,6006,0.44,0.56,0.8692758679389954,5.500675201416016,0.9188387370205552,0.9269695227142035,0.8629550321199143,0.89381757693374,0.12504162504162505
standard,10725,0.5,4.754521,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4934,5791,0.46004662004662006,0.53995337995338,0.8692758679389954,5.500675201416016,0.9158897446291042,0.9237472766884531,0.8604769152714358,0.890990281061203,0.12415817648074598
standard,10725,0.5,4.840532,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5148,5577,0.48,0.52,0.8692758679389954,5.500675201416016,0.9135586635586636,0.9204545454545454,0.8596237337192475,0.8889997505612373,0.12354312354312354
