protocol,product_type,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,papaya,108,0.75,46.826202,0.8981481481481481,1.0,0.8571428571428571,0.9230769230769231,101,7,0.9351851851851852,0.06481481481481481,0.957505464553833,6.773385047912598,0.9603960396039604,1.0,0.9428571428571428,0.9705882352941176,1.0
standard,peach,220,0.75,46.826202,0.9181818181818182,1.0,0.8512396694214877,0.9196428571428571,166,54,0.7545454545454545,0.24545454545454545,0.8329165577888489,4.779552459716797,1.0,1.0,1.0,1.0,0.3333333333333333
standard,pear,122,0.75,46.826202,1.0,1.0,1.0,1.0,122,0,1.0,0.0,0.9626330137252808,3.2993323802948,1.0,1.0,1.0,1.0,
standard,pomegranate,1511,0.75,46.826202,0.9642620780939775,0.9140893470790378,0.9016949152542373,0.9078498293515358,1390,121,0.9199205823957644,0.0800794176042356,0.936847448348999,5.587764739990234,0.9935251798561151,0.983402489626556,0.9793388429752066,0.9813664596273292,0.371900826446281
standard,potato,240,0.75,46.826202,0.7166666666666667,0.7062937062937062,0.7952755905511811,0.7481481481481481,157,83,0.6541666666666667,0.3458333333333333,0.8194893002510071,5.124001979827881,0.7643312101910829,0.7884615384615384,0.845360824742268,0.8159203980099502,0.37349397590361444
standard,strawberry,337,0.75,46.826202,0.7833827893175074,0.7142857142857143,0.9202453987730062,0.8042895442359249,189,148,0.5608308605341247,0.4391691394658754,0.7833328247070312,5.176384925842285,0.91005291005291,0.9126984126984127,0.9504132231404959,0.9311740890688259,0.3783783783783784
standard,tomato,889,0.75,46.826202,0.8773903262092239,0.9373493975903614,0.8241525423728814,0.8771138669673055,589,300,0.6625421822272216,0.3374578177727784,0.8247281908988953,6.519241809844971,0.9592529711375212,0.9966442953020134,0.928125,0.9611650485436893,0.2833333333333333
standard,watermelon,48,0.75,46.826202,1.0,1.0,1.0,1.0,20,28,0.4166666666666667,0.5833333333333334,0.6971125602722168,5.007888317108154,1.0,1.0,1.0,1.0,0.0
unseen,apple,7731,0.77,49.956474,0.7662656836114344,0.7547717842323651,0.8533896317147549,0.8010569195199824,5339,2392,0.6905963006079421,0.309403699392058,0.8414195775985718,5.044753551483154,0.8527814197415247,0.828116419549698,0.9496221662468514,0.8847169257846876,0.42683946488294316
unseen,banana,7118,0.77,49.956474,0.6205394773812869,0.5772121626238469,0.9373092926490985,0.7144518448038905,5843,1275,0.8208766507445912,0.17912334925540882,0.9019372463226318,5.6751604080200195,0.6467568030121513,0.6221966647498562,0.97214734950584,0.758765778401122,0.4996078431372549
unseen,tomato,4409,0.77,49.956474,0.5838058516670447,0.5913684785577711,0.8646166134185304,0.7023519870235199,2747,1662,0.623043774098435,0.37695622590156497,0.8095639944076538,5.768566131591797,0.7178740444120859,0.7207243460764587,0.9567307692307693,0.8221253155841175,0.6377858002406739
